State,City,PD,ORI,Black People Killed by Police (1/1/2013-12/31/2020),Hispanic People Killed by Police (1/1/2013-12/31/2020),Native American People Killed by Police (1/1/2013-12/31/2020),Asian People Killed by Police (1/1/2013-12/31/2020),Pacific Islanders Killed by Police (1/1/2013-12/31/2020),White People Killed by Police (1/1/2013-12/31/2020),Unknown Race People Killed by Police (1/1/2013-12/31/2020),All People Killed by Police (1/1/2013-12/31/2020),Allegedly Armed People Killed by Police (1/1/2013-12/31/2019),Unarmed/Did Not Have an Actual Weapon People Killed by Police (1/1/2013-12/31/2019),Unclear Armed Status People Killed by Police (1/1/2013-12/31/2019),People Armed with Vehicle Killed by Police (1/1/2013-12/31/2019),Total Population (Census ACS 5 Year 2018),Black,White,Amer. Indian,Asian,Hawaiian,Asian/Pacific Islander,Other,"Two or
more races",Hispanic,Black-White Dissimilarity Index (2010),Avg Annual Police Homicide Rate,Avg Annual Police Homicide Rate for Black People,Avg Annual Police Homicide Rate for White People,Avg Annual Police Homicide Rate for Hispanic People,Black-White Disparity,Hispanic-White Disparity,Violent crimes 2013 (if reported by agency),Violent crimes 2014 (if reported by agency),Violent crimes 2015 (if reported by agency),Violent crimes 2016 (if reported by agency),Violent crimes 2017 (if reported by agency),Violent crimes 2018 (if reported by agency),Violent crimes 2019 (if reported by agency),Average Violent Crimes Reported 2013-19,Violent Crime Rate,2013 Total Arrests (UCR Data),2014 Total Arrests,2015 Total Arrests,2016 Total Arrests,2017 Total Arrests,2018 Total Arrests,2019 Total Arrests,Estimated Average Arrests per Year 2013-2019,Killings by Police per 10k Arrests
New Mexico,Albuquerque,Albuquerque Police Department,NM0010100,3.0,22.0,,,,12.0,1.0,38.0,31.0,3.0,4.0,,559202.0,15399.0,220123.0,22208.0,15244.0,319.0,15563.0,1666.0,10429.0,273814.0,28.48418617248535,8.494247159344923,24.35223066432885,6.814371964765154,10.043314074517738,3.5736573803493727,1.4738429493500453,4325.0,4934.0,5406.0,6245.0,7686.0,7646.0,7604.0,6263.714285714285,11.201165742816166,27700.0,25447.0,22126.0,20341.0,21134.0,22247.0,22118.0,22235.5,17.08978885116143
California,Anaheim,Anaheim Police Department,CA0300100,3.0,8.0,,,,3.0,,14.0,7.0,4.0,2.0,1.0,349668.0,7868.0,86613.0,558.0,57766.0,1171.0,58937.0,359.0,6576.0,188757.0,27.784099578857422,5.0047473603532495,47.66141331977631,4.329604101001004,5.297816769709202,11.008261311642096,1.2236261436661953,1130.0,1101.0,1271.0,1209.0,1253.0,1192.0,1120.0,1182.2857142857142,3.3811664615741623,7891.0,8137.0,8381.0,9415.0,8869.0,10019.0,9645.0,9077.666666666666,15.42246539125326
Alaska,Anchorage,Anchorage Police Department,AK0010100,1.0,1.0,3.0,,1.0,6.0,4.0,16.0,13.0,2.0,,1.0,296112.0,15671.0,173209.0,20443.0,27938.0,6694.0,34632.0,800.0,24510.0,26847.0,34.3250732421875,6.754201113092344,7.976517133558803,4.3300290400614285,4.656013707304354,1.8421394082487825,1.0752846376379732,2435.0,2605.0,3226.0,3422.0,3564.0,3824.0,3584.0,3237.1428571428573,10.932156944476608,17601.0,14748.0,14387.0,13294.0,13871.0,13973.0,13655.0,13988.0,11.43837575064341
Texas,Arlington,Arlington Police Department,TX2200100,7.0,1.0,,2.0,,3.0,,13.0,7.0,4.0,,2.0,392462.0,86186.0,153476.0,1029.0,26720.0,488.0,27208.0,1067.0,8901.0,114595.0,39.73958969116211,4.140528254964812,10.152460956535865,2.4433787693189815,1.0907980278371656,4.155090927374129,0.44643018165423154,1837.0,1854.0,1946.0,2188.0,,1784.0,2058.0,1944.5,4.954619810325585,17258.0,16222.0,13999.0,11024.0,8354.0,9552.0,10319.0,11578.333333333334,11.227868144522814
Georgia,Atlanta,Atlanta Police Department,GAAPD0000,16.0,,,,,1.0,1.0,18.0,10.0,6.0,1.0,1.0,479655.0,246821.0,180462.0,582.0,19807.0,61.0,19868.0,1033.0,10038.0,20851.0,74.11972045898438,4.69087156393658,8.103038234185908,0.692666600170673,0.0,11.698323886541258,0,5517.0,5577.0,5203.0,5121.0,4504.0,3814.0,3045.0,4683.0,9.763267348406668,30505.0,26958.0,24601.0,22161.0,22581.0,,,24075.25,7.476557875826835
Colorado,Aurora,Aurora Police Department,CO0010100,8.0,3.0,,1.0,,6.0,2.0,20.0,13.0,2.0,4.0,1.0,363550.0,56073.0,163482.0,1806.0,22848.0,1221.0,24069.0,1494.0,13235.0,103391.0,28.71759796142578,6.876633200385092,17.833895101029018,4.587661026902044,3.627008153514329,3.8873611185419015,0.7906007292704395,1436.0,1448.0,1660.0,1939.0,2239.0,2716.0,2807.0,2035.0,5.597579425113464,21177.0,20466.0,20501.0,17443.0,15936.0,15767.0,14697.0,17468.333333333332,11.449289189962792
Texas,Austin,Austin Police Department,TX2270100,5.0,8.0,,1.0,,18.0,,32.0,27.0,5.0,,,935755.0,69770.0,452110.0,1591.0,67929.0,252.0,68181.0,1694.0,21847.0,320562.0,54.1422004699707,4.2746231652515885,8.958004873154652,4.9766649709141575,3.1195213406454916,1.8000015925342,0.6268296859196593,3123.0,3581.0,3497.0,3903.0,4032.0,3720.0,3953.0,3687.0,3.940133902570651,37024.0,36524.0,33102.0,30687.0,28460.0,24359.0,24302.0,29572.333333333332,10.820924963648455
California,Bakersfield,Bakersfield Police Department,CA0150200,3.0,17.0,,1.0,,6.0,,27.0,16.0,6.0,5.0,,375699.0,26238.0,125841.0,1068.0,27029.0,730.0,27759.0,765.0,7877.0,186151.0,43.388790130615234,8.983255212284302,14.292247884747313,5.959901780818652,11.415463790148857,2.398067688085982,1.9153778384214966,1857.0,1678.0,1810.0,1821.0,1827.0,1895.0,1766.0,1807.7142857142858,4.811602601322564,16786.0,20913.0,21814.0,21629.0,16822.0,13048.0,13358.0,17930.666666666668,15.058001189767994
Maryland,Baltimore,Baltimore Police Department,MDBPD0000,29.0,,,,,4.0,1.0,34.0,26.0,7.0,,1.0,614700.0,380636.0,169285.0,1353.0,15862.0,194.0,16056.0,2219.0,13648.0,31503.0,68.90399932861328,6.913941760208232,9.52353429523219,2.953598960333166,0.0,3.2243830063367627,0,8725.0,8346.0,9542.0,11010.0,12430.0,11100.0,11101.0,10322.0,16.79193102326338,47560.0,46232.0,32939.0,29660.0,29044.0,25567.0,24831.0,31378.833333333332,10.835329548049906
Louisiana,Baton Rouge,Baton Rouge Police Department,LA0170200,11.0,,,,,,,11.0,8.0,2.0,,1.0,225362.0,123580.0,82419.0,348.0,7264.0,90.0,7354.0,309.0,3043.0,8309.0,66.93819427490234,6.101294805690401,11.12639585693478,0.0,0.0,No White People were Killed by Police,No White People were Killed by Police,2127.0,2120.0,2001.0,2143.0,2335.0,2067.0,2069.0,2123.1428571428573,9.421033080745012,,,15244.0,13322.0,12829.0,10773.0,11219.0,12677.4,8.67685803082651
Alabama,Birmingham,Birmingham Police Department,AL0010200,5.0,,,,,3.0,,8.0,6.0,2.0,,,212021.0,148967.0,49614.0,459.0,1955.0,42.0,1997.0,168.0,3005.0,7811.0,62.555355072021484,4.7165139302238925,4.19556009048984,7.558350465594389,0.0,0.5550893822121677,0,2852.0,3369.0,3707.0,,,4025.0,,3488.25,16.452379717103494,,,3.0,3738.0,,4920.0,,2887.0,27.710426047800485
Massachusetts,Boston,Boston Police Department,MA0130100,9.0,1.0,,1.0,,1.0,1.0,13.0,12.0,1.0,,,679413.0,154363.0,302427.0,1405.0,64939.0,225.0,65164.0,5973.0,16188.0,133893.0,69.17049407958984,2.391770543101177,7.288015910548512,0.4133228845308124,0.933581292524628,17.632742302235638,2.258721516434765,5037.0,4749.0,4702.0,4767.0,4570.0,4324.0,4244.0,4627.571428571428,6.8111317101254,12716.0,13647.0,11423.0,10247.0,9994.0,8843.0,7211.0,10227.5,12.710828648252262
New York,Buffalo,Buffalo Police Department,NY0140100,1.0,2.0,,,,,,3.0,2.0,1.0,,,257518.0,91978.0,112762.0,1004.0,14252.0,114.0,14366.0,445.0,7106.0,29857.0,65.89344024658203,1.456208886369108,1.3590206353693273,0.0,8.373245805003851,No White People were Killed by Police,No White People were Killed by Police,3249.0,3174.0,2887.0,2857.0,2611.0,2692.0,2533.0,2857.5714285714284,11.096589087253818,14774.0,12893.0,10163.0,9421.0,10085.0,10743.0,9675.0,10496.666666666666,2.8580501746586218
Arizona,Chandler,Chandler Police Department,AZ0070500,,4.0,,,,3.0,,7.0,4.0,1.0,,2.0,248631.0,12599.0,146034.0,3290.0,25504.0,372.0,25876.0,318.0,7452.0,53062.0,17.242570877075195,3.519271530903226,0.0,2.567895147705329,9.422939203196261,0,3.669518676265501,575.0,466.0,490.0,558.0,647.0,606.0,594.0,562.2857142857143,2.2615269788792,6257.0,6105.0,6368.0,6115.0,6660.0,6538.0,6231.0,6336.166666666667,11.047689191677406
North Carolina,Charlotte,Charlotte-Mecklenburg Police Department,NC0600100,12.0,2.0,,,1.0,5.0,1.0,21.0,18.0,1.0,2.0,,841611.0,290429.0,353013.0,2135.0,54822.0,447.0,55269.0,2809.0,20348.0,117608.0,53.400146484375,3.119018168726407,5.164773490250629,1.7704730420692723,2.125705734303789,2.9171714945821523,1.2006428134140534,5093.0,5054.0,5948.0,6560.0,6304.0,6482.0,6982.0,6060.428571428572,7.200985456973081,19087.0,23669.0,25309.0,23740.0,23632.0,22021.0,21651.0,23337.0,8.998585936495694
Virginia,Chesapeake,Chesapeake Police Department,VA1030000,2.0,,,,,,,2.0,2.0,,,,237820.0,69494.0,137582.0,417.0,7636.0,204.0,7840.0,828.0,7539.0,14120.0,41.66214370727539,1.0512152047767218,3.59743287190261,0.0,0.0,No White People were Killed by Police,No White People were Killed by Police,737.0,991.0,897.0,969.0,1006.0,979.0,1113.0,956.0,4.0198469430661845,9168.0,8076.0,5914.0,3497.0,4080.0,5169.0,5533.0,5378.166666666667,3.7187393473612445
Illinois,Chicago,Chicago Police Department,ILCPD0000,61.0,17.0,,,,3.0,1.0,82.0,58.0,10.0,9.0,5.0,2718555.0,808165.0,892323.0,3160.0,172991.0,400.0,173391.0,5426.0,47950.0,788140.0,82.47774505615234,3.7703853701690786,9.43495449567848,0.4202514112042388,2.6962214834927805,22.450738401192826,6.415734514172609,25688.0,24133.0,24698.0,30193.0,29737.0,27420.0,25532.0,26771.571428571428,9.847721097631435,112862.0,100346.0,84215.0,61507.0,57523.0,78737.0,,76465.6,10.723776443263375
California,Chula Vista,Chula Vista Police Department,CA0370200,,1.0,,,,1.0,1.0,3.0,3.0,,,,266468.0,10563.0,47770.0,144.0,41209.0,1455.0,42664.0,736.0,7877.0,156714.0,22.051408767700195,1.407298437335815,0.0,2.616705045007327,0.7976313539313654,0,0.30482279821841063,595.0,612.0,705.0,696.0,808.0,835.0,904.0,736.4285714285714,2.7636660740823342,3935.0,3426.0,4022.0,4601.0,4118.0,4213.0,4061.0,4073.5,7.364674113170492
Ohio,Cincinnati,Cincinnati Police Department,OHCIP0000,8.0,1.0,,,,3.0,,12.0,9.0,3.0,,,300357.0,127424.0,144887.0,240.0,6008.0,218.0,6226.0,806.0,9713.0,11061.0,53.41751480102539,4.99405707208422,7.847815168257158,2.588223926232167,11.300967362806256,3.032123723422066,4.36630202211976,2826.0,2695.0,2761.0,2720.0,2833.0,2535.0,2563.0,2704.714285714286,9.004998337692431,,,,,6971.0,6704.0,6687.0,6787.333333333333,17.679992142225714
Ohio,Cleveland,Cleveland Division of Police,OHCLP0000,10.0,,,,,1.0,,11.0,5.0,5.0,,1.0,387398.0,189775.0,130659.0,629.0,9043.0,60.0,9103.0,1187.0,11218.0,44827.0,69.02178955078125,3.5493213697541033,6.586747464102226,0.956688785311383,0.0,6.884942695297062,0,5751.0,5186.0,,6299.0,5999.0,5576.0,5791.0,5767.0,14.886499155906845,9210.0,8484.0,6426.0,3871.0,4390.0,3824.0,4055.0,5175.0,21.256038647342997
Colorado,Colorado Springs,Colorado Springs Police Department,CO0210100,4.0,2.0,,,,12.0,1.0,19.0,15.0,4.0,,,457502.0,26815.0,314218.0,1345.0,13552.0,1042.0,14594.0,1073.0,18599.0,80858.0,34.70884323120117,5.19123413668137,18.646280067126607,4.773755800113297,3.0918400158302206,3.9059978867549257,0.6476745240627602,1893.0,2039.0,1983.0,2301.0,2479.0,2617.0,2815.0,2303.8571428571427,5.035731303594613,17099.0,20308.0,22018.0,20474.0,21460.0,16713.0,19273.0,20041.0,9.480564842073749
Ohio,Columbus,Columbus Division of Police,OHCOP0000,31.0,,,,,12.0,1.0,44.0,33.0,4.0,6.0,1.0,867628.0,243832.0,485217.0,1282.0,49361.0,382.0,49743.0,2328.0,33675.0,51551.0,53.80086135864258,6.339122296652483,15.892089635486728,3.091400342527158,0.0,5.140741371107976,0,1022.0,4563.0,4631.0,4500.0,4478.0,4416.0,4561.0,4024.4285714285716,4.638426343350574,12690.0,8578.0,9893.0,10046.0,9365.0,10955.0,11408.0,10040.833333333334,43.82106398871276
