State,State Abbreviation,Total Population,Black Population,Hispanic Population,Native American Population,Asian Population,Pacific Islander Population,White Population,Other Population,% African-American,% Victims Black,Disparity,# Black people killed,# Hispanic people killed,# Native American people killed,# Asian people killed,# Pacific Islanders killed,# White people killed,# Unknown Race people killed,# People Killed,Rate (Black People),Rate (Hispanic People),Rate (Native American People),Rate (Asian People),Rate (Pacific Islanders),Rate (White People),Rate (All People),Disparity in Rate,Black-White Disparity,Hispanic-White Disparity,Native American-White Disparity,Allegedly Armed People Killed by Police (1/1/2013-12/31/2020),Unarmed/Did Not Have an Actual Weapon People Killed by Police (1/1/2013-12/31/2020),Unclear Armed Status People Killed by Police (1/1/2013-12/31/2020),People Armed with Vehicle Killed by Police (1/1/2013-12/31/2020)
Alaska,AK,738516.0,22817.0,51186.0,103506.0,45617.0,8544.0,450754.0,56092.0,0.030895742272340748,0.08163265306122448,0.05073691078888373,4.0,1.0,12.0,,1.0,24.0,7.0,49.0,21.913485559013015,2.4420740046106357,14.49191351226016,0.0,14.630149812734082,6.655514981564223,8.293659175969106,2.642197502220417,3.292530423222451,0.36692487529142087,2.1774293277684387,38.0,3.0,6.0,2.0
Alabama,AL,4864680.0,1285737.0,203146.0,23243.0,63936.0,1521.0,3196730.0,90367.0,0.26430042674954984,0.37341772151898733,0.10911729476943749,59.0,1.0,,1.0,,84.0,13.0,158.0,5.736009774938421,0.6153210006596241,0.0,1.95508008008008,0.0,3.284606457223475,4.059876497529128,1.4128532674403766,1.7463309074132285,0.18733477166082288,0.0,104.0,23.0,19.0,12.0
Arkansas,AR,2990671.0,458536.0,219052.0,17342.0,43441.0,7877.0,2173849.0,70574.0,0.15332211400050358,0.29914529914529914,0.14582318514479556,35.0,3.0,,1.0,,67.0,11.0,117.0,9.541235584556064,1.7119222832934646,0.0,2.877465988352018,0.0,3.8526134979936515,4.890206913431801,1.9510903635487091,2.476561842895715,0.4443534977451002,0.0,89.0,10.0,8.0,10.0
Arizona,AZ,6946685.0,286614.0,2163312.0,271946.0,222477.0,12523.0,3825886.0,163927.0,0.04125910416263297,0.08418367346938775,0.042924569306754784,33.0,139.0,15.0,,,159.0,46.0,392.0,14.392179028240072,8.031666259882995,6.894751163833996,0.0,0.0,5.194875121736508,7.05372418642849,2.0403660035263242,2.7704571699943292,1.5460749434142746,1.3272217333935192,289.0,56.0,27.0,20.0
California,CA,39148760.0,2164519.0,15221577.0,138427.0,5525439.0,138911.0,14695836.0,1264051.0,0.05528959282490684,0.1513353115727003,0.09604571874779347,204.0,540.0,8.0,48.0,10.0,368.0,170.0,1348.0,11.780908368094712,4.434494533647861,7.224024214929169,1.0858865693748496,8.998567428065453,3.130138360281103,4.304095455386071,2.7371391945669528,3.763702115403207,1.4167087915083791,2.3078929374484307,889.0,233.0,144.0,82.0
Colorado,CO,5531141.0,216732.0,1184794.0,30131.0,169556.0,7480.0,3778212.0,144236.0,0.03918395860817867,0.10294117647058823,0.06375721786240957,28.0,79.0,6.0,4.0,,123.0,32.0,272.0,16.148976616281857,8.334782249066082,24.891307955262022,2.9488782467149495,0.0,4.069385201253927,6.14701378974067,2.6271254903046426,3.968406974917431,2.0481674348493306,6.116724449578304,201.0,25.0,28.0,18.0
Connecticut,CT,3581504.0,351817.0,561791.0,5320.0,157406.0,752.0,2418696.0,85722.0,0.09823163676488983,0.21951219512195122,0.12128055835706139,9.0,8.0,,1.0,,20.0,3.0,41.0,3.1976851601827088,1.7800213958571782,0.0,0.7941247474683303,0.0,1.033614807317662,1.4309630814317114,2.234638476475124,3.093691322477311,1.7221322520296694,0.0,27.0,8.0,4.0,2.0
District of Columbia,DC,684498.0,315281.0,74776.0,1314.0,26278.0,280.0,248057.0,18512.0,0.4606017840811807,0.8888888888888888,0.42828710480770815,24.0,,,,,1.0,2.0,27.0,9.515321253104373,0.0,0.0,0.0,0.0,0.5039164385604922,4.9306206884461306,1.9298424791429447,18.88273635265049,0.0,0.0,20.0,4.0,1.0,2.0
Delaware,DE,949495.0,204665.0,86315.0,2851.0,36464.0,276.0,595623.0,23301.0,0.21555142470471145,0.45454545454545453,0.23899402984074308,10.0,1.0,,,,8.0,3.0,22.0,6.107541592358244,1.4481839772924752,0.0,0.0,0.0,1.678914346826768,2.8962764416874234,2.108756437904069,3.637792245865194,0.8625716851068759,0.0,14.0,3.0,1.0,4.0
Florida,FL,20598139.0,3167011.0,5184720.0,41776.0,548642.0,10770.0,11196857.0,448363.0,0.15375228801009644,0.3056426332288401,0.15189034521874367,195.0,88.0,,7.0,,282.0,66.0,638.0,7.696531524519492,2.1216189109537256,0.0,1.5948469129231813,0.0,3.1482048935696865,3.871708992739587,1.9878899831966697,2.4447365354904043,0.6739138597005561,0.0,457.0,95.0,45.0,40.0
Georgia,GA,10297484.0,3195363.0,968463.0,18416.0,399223.0,5070.0,5476441.0,234508.0,0.31030521630332225,0.39158576051779936,0.08128054421447711,121.0,14.0,,3.0,,120.0,51.0,309.0,4.73342152362658,1.8069869473588562,0.0,0.9393246381095278,0.0,2.739005131252213,3.7509162432298995,1.26193740853852,1.728153580151405,0.6597238269987254,0.0,206.0,51.0,27.0,25.0
Hawaii,HI,1422029.0,24472.0,147962.0,1877.0,522731.0,132583.0,314536.0,277868.0,0.017209213032926895,0.025,0.0077907869670731066,1.0,4.0,,3.0,24.0,5.0,3.0,40.0,5.107878391631252,3.3792460226274312,0.0,0.7173861890723909,22.62733532956714,1.9870539461301728,3.5161026955146486,1.4527102402745995,2.570578620464204,1.7006312431570265,0.0,22.0,7.0,,11.0
Iowa,IA,3132499.0,107471.0,183296.0,9067.0,74640.0,2863.0,2695888.0,59274.0,0.03430839084066747,0.13725490196078433,0.10294651112011685,7.0,2.0,,,,37.0,5.0,51.0,8.141731257734644,1.3639141061452515,0.0,0.0,0.0,1.71557572124658,2.035116371944572,4.000621964411375,4.745772020962537,0.7950183074135588,0.0,40.0,4.0,4.0,3.0
