"victim","sq","victim_age","victim_race","victim_gender","URL.of.image.of.victim","doi.x","Agency.responsible.for.death","Cause.of.death","A.brief.description.of.the.circumstances.surrounding.the.death","Official.disposition.of.death..justified.or.other.","Criminal.Charges.","Symptoms.of.mental.illness.","Armed.Unarmed.Status","Alleged.Weapon..Source..WaPo.and.Review.of.Cases.Not.Included.in.WaPo.Database.","Alleged.Threat.Level..Source..WaPo.","Fleeing..Source..WaPo.","Body.Camera..Source..WaPo.","Zip","City_y","State_y","Latitude","Longitude","Link.to.news.article.or.photo.of.official.document"
"Aaron Alexis",65.1842850406861,"34","Black","Male","http://www.washingtonpost.com/rf/image_606w/2010-2019/WashingtonPost/2013/09/16/Local/Images/Was7914440.jpg","2013-09-16","DC Metropolitan Police Department","Gunshot","Alexis entered the Naval Sea Systems Command Center and killed 12 people and injured three others. He was fatally shot by police in response to the shooting.","Justified","No known charges","No","Allegedly Armed","gun","","","",20374,"Washington","DC",38.855522,-77.002197,"http://www.washingtonpost.com/politics/aaron-alexis-34-is-dead-gunman-in-navy-yard-shooting-authorities-say/2013/09/16/dcf431ce-1f07-11e3-8459-657e0c72fec8_story.html"
"Aaron Anthony Hudson",11.4987859718165,"31","Black","Male","https://fatalencounters.org/wp-content/uploads/2020/08/Aaron-Anthony-Hudson-.jpg","2020-07-16","Onondaga County Sheriff's Office","Gunshot","Officer Mark Grady witnessed a person get thrown from an SUV. He followed the vehicle and requested backup. The people he was following got out of the SUV and and shot at Grady, who returned fire. The people fled in the vehicle. Syracuse Police officers found the SUV with an unconscious man, Aaron Hudson, inside. A grand jury determined Grady was justified in discharging his firearm and causing the death of Aaron Hudson.","Justified by Grand Jury","No known charges","Unknown","Unclear","undetermined","attack","","",13208,"Syracuse","NY",43.074566,-76.14747,"https://cnycentral.com/news/local/deadly-officer-involved-shooting-in-syracuse-was-justified-da-says"
"Aaron Christopher Pouche",3.36729582998647,"35","Unknown Race","Male","","2021-03-31","Independence Police Department","Gunshot","Around 11:20 p.m. a call came in for a person shooting inside a home with a rifle. When officers arrived, the person started shooting at them. One Independence police officer was wounded, and Aaron Pouche was killed.","Pending investigation","No known charges","No","Allegedly Armed","gun","attack","not fleeing","",64054,"Independence","MO",39.108704,-94.44115,"https://www.kmbc.com/article/troopers-investigating-officer-involved-shooting-in-independence/35999788#"
"Aaron Demonta Fleming",4.69134788222914,"21","Black","Male","","2018-09-03","Covington Police Department","Gunshot","Police responded to a Walmart regarding a shoplifting report. Officer Matt Cooper chased Aaron Fleming behind another shopping center. Gunfire was exchanged. Cooper was wounded and Fleming was killed.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","attack","Foot","No",30014,"Covington","GA",33.581406,-83.851,"https://www.ajc.com/news/crime--law/breaking-held-after-covington-officer-shooting-are-juveniles/4NMhBdQ0lQDPxx1YTlsDqI/"
"Aaron Hong",6.49828214947643,"23","Asian","Male","","2019-07-01","Athens-Clarke County Police Department","Gunshot","Around 12:30 p.m., officers responded to a report of a man who was armed with a knife, covered in blood, and acting erratically. Aaron Hong was shot and killed when he threatened officers with the knife.","Justified by District Attorney","No known charges","Yes","Allegedly Armed","knife","attack","Not fleeing","Yes",30606,"Athens","GA",33.945619,-83.41732,"https://patch.com/georgia/athens/gbi-names-man-who-died-after-charging-athens-officers-police"
"Aaron Luther",0.693147180559945,"49","White","Male","https://fatalencounters.org/wp-content/uploads/2019/08/Aaron-Luther.jpg","2019-08-12","California Highway Patrol","Gunshot","Aaron Luther engaged officers in a gun battle during a traffic stop in Riverside, killing one California Highway Patrol officer and wounding two others, before being shot and killed.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","attack","Not fleeing","No",92507,"Riverside","CA",33.978965,-117.33646,"https://www.latimes.com/california/story/2019-08-13/deadly-shootout-near-215-freeway-in-riverside-motive-unknown"
"Aaron Martin",15.4297966987232,"41","White","Male","http://tbo.com/storyimage/TB/20141219/ARTICLE/141219194/AR/0/AR-141219194.jpg","2014-12-19","Pasco County Sheriff's Office","Gunshot","Martin was suspected of beating his ex-wife and refused to let her and their son out of the house. Deputies entered the home, used a stun gun on him - with no effect - and then Martin charged at a deputies with a wooden stand, prmpting a deputy to shoot and kill him.","Unreported","No known charges","No","Unclear","wooden nightstand","","","",34691,"Holiday","FL",28.19006,-82.75735,"http://tbo.com/pasco-county/pasco-deputy-shoots-man-during-domestic-call-20141219/"
"Aaron Phillips",6.89162589705225,"31","White","Male","https://fatalencounters.org/wp-content/uploads/2020/01/Aaron_Phillips.jpg","2020-01-15","Polk County Sheriff's Office","Gunshot","About 11 a.m., an officer was surveilling a truck with someone inside who was wanted on several felony warrants and followed the vehicle into the parking lot of a business. At that time, two unmarked Plant City Police vehicles tried to stop the truck. The driver tried to get away by ramming both vehicles, then turned the truck toward the first officer. The officer shot at the truck but was hit. That suspect then reportedly carjacked another vehicle. A Polk County Sheriff's Office deputy spotted Aaron Phillips and April Thompson in the Willow Oak trailer park and tried to arrest them. The deputy shot and killed Phillips and wounded Thompson in the stomach.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","attack","Not fleeing","No",33860,"Mulberry","FL",27.884256,-81.97697,"https://www.baynews9.com/fl/tampa/news/2020/01/15/police-search-for-suspected-carjacker-who-ran-over-officer"
"Aaron Ray",7.79770203551669,"43","White","Male","http://wfla.images.worldnow.com/images/4672888_G.jpg","2014-09-06","St. Johns County Sheriff's Office","Gunshot","Deputies responded to a report of a domestic disturbance involving shots fired. Responding deputies were advised by the female victim that the male suspect had possibly barricaded himself inside the residence. While establishing a perimeter, deputies encountered the armed suspect, who refused to drop the weapon and shots were fired, killing Ray","Unreported","No known charges","Unknown","Allegedly Armed","unknown weapon","","","",32259,"Jacksonville","FL",30.092346,-81.60274,"http://staugustine.com/news/local-news/2014-09-06/st-johns-county-deputy-shoots-kills-man-home#.VKxencaZFg1"
"Aaron Wright",7.83201418050547,"32","White","Male","http://kndu.images.worldnow.com/images/4073575_G.jpg","2014-06-27","Kennewick Police Department","Gunshot","Police spotted Wright driving a stolen vehicle. Wright fled, leading police on a lengthy car chase during which he repeatedly held a pistol to his head. Wright crashed near his residence and fled on foot with the pistol. Police fired on Wright as he fled into an apartment complex and then fired on him again when he reappeared waving the pistol, killing him. The pistol turned out to be a pellet gun. Wright had attempted ""suicide-by-cop"" four years prior to this incident.","Justified","No known charges","Unknown","Unarmed/Did Not Have Actual Weapon","toy weapon","","","",99336,"Kennewick","WA",46.210957,-119.16369,"http://www.tri-cityherald.com/2014/06/27/3040213_kennewick-police-at-shooting-scene.html?rh=1"
